observation_date	AKPCPI	AKPOP	AKPOP_PCH	ALPCPI	ALPOP	ARPCPI	ARPOP	AZPCPI	AZPOP	BEARMPOP	BEASWPOP	CAPCPI	CAPOP	CMWRPOP	CNEWPOP	COPCPI	COPOP	CTPCPI	CTPOP	DCPCPI	DCPOP	DEPCPI	DEPOP	FLPCPI	FLPOP	GAPCPI	GAPOP	HIPCPI	HIPOP	IAPCPI	IAPOP	IDPCPI	IDPOP	ILPCPI	ILPOP	INPCPI	INPOP	KSPCPI	KSPOP	KYPCPI	KYPOP	LAPCPI	LAPOP	MAPCPI	MAPOP	MDPCPI	MDPOP	MEPCPI	MEPOP	MIPCPI	MIPOP	MNPCPI	MNPOP	MOPCPI	MOPOP	MSPCPI	MSPOP	MTPCPI	MTPOP	NCPCPI	NCPOP	NDPCPI	NDPOP	NEPCPI	NEPOP	NHPCPI	NHPOP	NJPCPI	NJPOP	NMPCPI	NMPOP	NVPCPI	NVPOP	NYPCPI	NYPOP	OHPCPI	OHPOP	OKPCPI	OKPOP	ORPCPI	ORPOP	PAPCPI	PAPOP	RIPCPI	RIPOP	SCPCPI	SCPOP	SDPCPI	SDPOP	TNPCPI	TNPOP	TXPCPI	TXPOP	UTPCPI	UTPOP	VAPCPI	VAPOP	VTPCPI	VTPOP	WAPCPI	WAPOP	WIPCPI	WIPOP	WVPCPI	WVPOP	WYPOP_20081219	 
2016-01-01	55535	742.575	0.56133	38712	4866.824	40179	2991.815	41122	6944.767	11899.501	40879.529	55863	39149.186	68018.175	14765.334	51306	5543.844	67550	3579.830	77453	687.576	48192	949.989	45720	20627.237	42744	10308.442	48555	1428.885	45672	3133.210	39676	1684.036	51340	12821.709	43145	6637.898	46718	2912.977	39321	4440.306	42132	4681.346	63487	6827.280	56614	6007.014	44238	1332.348	44081	9954.117	51990	5525.360	43826	6091.384	35638	2990.595	43306	1042.137	42582	10161.802	51307	756.114	48695	1906.483	55681	1343.694	59793	8873.584	38475	2092.555	44700	2919.555	58392	19636.391	44576	11640.060	42052	3928.143	45467	4093.271	50574	12788.468	48523	1057.816	40732	4963.031	48279	863.693	42943	6651.277	45862	27914.064	41312	3044.241	52659	8417.651	48831	624.366	54302	7299.961	46598	5775.170	37074	1832.435	53,421
2017-01-01	56499	740.983	-0.21439	39975	4877.989	41402	3003.855	43208	7048.088	12074.562	41365.558	58214	39337.785	68160.342	14806.708	54171	5617.421	69146	3575.324	79535	697.079	50002	957.942	48439	20977.089	44838	10417.031	50499	1425.763	46769	3143.734	41218	1719.745	53049	12779.893	44570	6662.068	48272	2910.892	40404	4455.590	43486	4673.673	66076	6863.560	58251	6028.186	45909	1335.743	45264	9976.752	53832	5569.283	44781	6111.382	36580	2990.674	45373	1053.862	44207	10275.758	51839	756.755	49538	1916.998	57882	1350.395	61716	8888.147	39197	2092.844	46977	2972.097	62196	19593.849	46116	11665.706	43871	3933.602	47565	4147.294	51888	12794.679	50423	1056.554	42368	5027.102	49404	873.732	44411	6714.748	48518	28291.024	43044	3103.540	54380	8471.011	50011	625.132	56805	7427.951	48313	5793.147	38840	1818.683	56,377
2018-01-01	58997	736.624	-0.58827	41330	4891.628	43029	3012.161	45260	7164.228	12245.254	41826.034	60984	39437.463	68263.019	14839.608	57794	5697.155	72157	3574.561	82254	704.147	52674	966.985	51009	21254.926	46626	10519.389	51546	1423.102	48775	3149.900	43270	1752.074	56072	12724.685	46556	6698.481	50283	2912.748	41658	4464.273	45464	4664.450	69195	6885.720	59919	6042.153	47732	1340.123	47088	9987.286	56205	5608.762	46680	6125.986	37624	2982.879	47211	1061.818	46040	10391.358	55180	760.062	51439	1925.512	60338	1355.064	64206	8891.730	40977	2093.754	49278	3030.725	64218	19544.098	47822	11680.892	46029	3943.488	50209	4183.538	54468	12809.107	52135	1059.338	43804	5091.702	51575	879.386	46452	6778.180	51341	28624.564	45473	3155.153	56133	8510.920	51692	624.802	59827	7526.793	50522	5809.319	41000	1805.953	59,195
2019-01-01	60569	733.603	-0.41011	43004	4907.965	43751	3020.985	47693	7291.843	12401.168	42338.947	64174	39437.610	68340.091	14849.662	61258	5758.486	74173	3566.022	83636	708.253	53746	976.668	53640	21492.056	48535	10628.020	53912	1415.615	49663	3159.596	45917	1789.060	57721	12667.017	48270	6731.010	52127	2912.635	43445	4472.345	47009	4658.285	72359	6894.883	61707	6054.954	49976	1345.770	48569	9984.795	57874	5640.053	48401	6140.475	39157	2978.227	49647	1070.123	48366	10501.384	56622	763.724	53450	1932.571	63934	1360.783	67484	8891.258	43191	2099.634	51905	3090.771	66415	19463.131	49404	11696.507	48172	3960.676	52178	4216.116	56125	12798.883	55105	1058.158	46149	5157.702	54426	887.127	48889	6830.325	53247	28986.794	48156	3203.383	58368	8556.642	54257	624.046	63405	7614.024	52364	5824.581	42627	1795.263	61,863
2020-01-01	61894	732.964	-0.08710	45882	5031.864	47145	3014.348	52084	7186.683	12583.415	42504.766	70058	39503.200	68969.794	15057.898	64848	5785.219	77810	3577.586	89707	670.839	55792	991.862	56556	21591.299	51456	10732.390	57030	1451.181	52580	3190.904	49687	1849.339	61569	12790.357	51716	6789.098	55037	2938.124	47019	4508.155	50239	4652.022	77371	6997.713	64820	6173.689	54263	1364.517	52780	10070.627	61270	5710.578	52091	6154.426	42510	2958.409	53540	1087.211	51759	10453.812	61087	779.563	56715	1963.273	67877	1378.702	70952	9272.392	46629	2118.488	54646	3115.840	69886	20104.710	52875	11798.292	50245	3965.234	56504	4245.044	60315	12995.477	59061	1096.444	48769	5132.151	59462	887.852	51924	6926.091	55114	29234.361	51748	3283.982	61469	8637.193	57974	642.936	67669	7724.566	55427	5896.700	45067	1791.562	65,551
2021-01-01	65596	734.923	0.26727	50054	5050.380	51631	3028.443	56361	7272.487	12741.331	42942.357	76987	39145.060	68850.246	15106.108	71920	5811.596	81131	3603.691	97462	669.037	58885	1004.881	63071	21830.708	56172	10790.385	61481	1446.745	58044	3197.944	54141	1904.537	67258	12690.341	56931	6813.798	58568	2937.946	51549	4507.600	54531	4627.047	83434	6991.951	69047	6175.045	58621	1378.787	56597	10038.117	66770	5717.968	56068	6170.393	46577	2949.582	58337	1106.366	56698	10567.100	65891	777.982	62660	1964.253	72214	1387.494	76069	9269.175	51134	2116.950	61020	3146.632	75959	19854.526	57022	11765.227	55159	3991.634	61643	4256.465	64035	13013.614	63657	1097.092	52822	5193.848	65411	896.299	57008	6963.709	60543	29561.286	57039	3339.284	66838	8657.348	61202	647.093	74181	7741.433	60383	5879.978	49079	1785.249	70,515
2022-01-01	68664	733.276	-0.22411	50920	5073.903	52604	3046.404	58390	7365.684	12865.778	43528.279	77013	39040.616	68783.028	15120.739	75708	5841.039	83340	3608.706	96092	670.949	63177	1019.459	64804	22245.521	56588	10913.150	61813	1439.399	60238	3199.693	56615	1938.996	67653	12582.515	58329	6832.274	60433	2936.716	51929	4511.563	54527	4588.023	84551	6982.740	70236	6163.981	60425	1389.338	57043	10033.281	68874	5714.300	57825	6177.168	46388	2938.928	60984	1122.878	58125	10695.965	70391	778.912	64263	1968.060	73711	1399.003	77206	9260.817	52190	2113.476	62092	3177.421	75423	19673.200	57759	11759.697	56306	4019.271	62314	4239.379	64506	12972.091	63551	1093.842	53615	5282.955	68173	909.869	58311	7048.976	62585	30029.848	59449	3381.236	69021	8679.099	63035	647.110	75345	7784.477	61496	5890.543	50024	1774.035	73,216	
