"Label (Grouping)","United States!!Total!!Estimate","United States!!Percent!!Estimate","United States!!Male!!Estimate","United States!!Percent Male!!Estimate","United States!!Female!!Estimate","United States!!Percent Female!!Estimate","Alabama!!Total!!Estimate","Alabama!!Percent!!Estimate","Alabama!!Male!!Estimate","Alabama!!Percent Male!!Estimate","Alabama!!Female!!Estimate","Alabama!!Percent Female!!Estimate","Alaska!!Total!!Estimate","Alaska!!Percent!!Estimate","Alaska!!Male!!Estimate","Alaska!!Percent Male!!Estimate","Alaska!!Female!!Estimate","Alaska!!Percent Female!!Estimate","Arizona!!Total!!Estimate","Arizona!!Percent!!Estimate","Arizona!!Male!!Estimate","Arizona!!Percent Male!!Estimate","Arizona!!Female!!Estimate","Arizona!!Percent Female!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Percent!!Estimate","Arkansas!!Male!!Estimate","Arkansas!!Percent Male!!Estimate","Arkansas!!Female!!Estimate","Arkansas!!Percent Female!!Estimate","California!!Total!!Estimate","California!!Percent!!Estimate","California!!Male!!Estimate","California!!Percent Male!!Estimate","California!!Female!!Estimate","California!!Percent Female!!Estimate","Colorado!!Total!!Estimate","Colorado!!Percent!!Estimate","Colorado!!Male!!Estimate","Colorado!!Percent Male!!Estimate","Colorado!!Female!!Estimate","Colorado!!Percent Female!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Percent!!Estimate","Connecticut!!Male!!Estimate","Connecticut!!Percent Male!!Estimate","Connecticut!!Female!!Estimate","Connecticut!!Percent Female!!Estimate","Delaware!!Total!!Estimate","Delaware!!Percent!!Estimate","Delaware!!Male!!Estimate","Delaware!!Percent Male!!Estimate","Delaware!!Female!!Estimate","Delaware!!Percent Female!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Percent!!Estimate","District of Columbia!!Male!!Estimate","District of Columbia!!Percent Male!!Estimate","District of Columbia!!Female!!Estimate","District of Columbia!!Percent Female!!Estimate","Florida!!Total!!Estimate","Florida!!Percent!!Estimate","Florida!!Male!!Estimate","Florida!!Percent Male!!Estimate","Florida!!Female!!Estimate","Florida!!Percent Female!!Estimate","Georgia!!Total!!Estimate","Georgia!!Percent!!Estimate","Georgia!!Male!!Estimate","Georgia!!Percent Male!!Estimate","Georgia!!Female!!Estimate","Georgia!!Percent Female!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Percent!!Estimate","Hawaii!!Male!!Estimate","Hawaii!!Percent Male!!Estimate","Hawaii!!Female!!Estimate","Hawaii!!Percent Female!!Estimate","Idaho!!Total!!Estimate","Idaho!!Percent!!Estimate","Idaho!!Male!!Estimate","Idaho!!Percent Male!!Estimate","Idaho!!Female!!Estimate","Idaho!!Percent Female!!Estimate","Illinois!!Total!!Estimate","Illinois!!Percent!!Estimate","Illinois!!Male!!Estimate","Illinois!!Percent Male!!Estimate","Illinois!!Female!!Estimate","Illinois!!Percent Female!!Estimate","Indiana!!Total!!Estimate","Indiana!!Percent!!Estimate","Indiana!!Male!!Estimate","Indiana!!Percent Male!!Estimate","Indiana!!Female!!Estimate","Indiana!!Percent Female!!Estimate","Iowa!!Total!!Estimate","Iowa!!Percent!!Estimate","Iowa!!Male!!Estimate","Iowa!!Percent Male!!Estimate","Iowa!!Female!!Estimate","Iowa!!Percent Female!!Estimate","Kansas!!Total!!Estimate","Kansas!!Percent!!Estimate","Kansas!!Male!!Estimate","Kansas!!Percent Male!!Estimate","Kansas!!Female!!Estimate","Kansas!!Percent Female!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Percent!!Estimate","Kentucky!!Male!!Estimate","Kentucky!!Percent Male!!Estimate","Kentucky!!Female!!Estimate","Kentucky!!Percent Female!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Percent!!Estimate","Louisiana!!Male!!Estimate","Louisiana!!Percent Male!!Estimate","Louisiana!!Female!!Estimate","Louisiana!!Percent Female!!Estimate","Maine!!Total!!Estimate","Maine!!Percent!!Estimate","Maine!!Male!!Estimate","Maine!!Percent Male!!Estimate","Maine!!Female!!Estimate","Maine!!Percent Female!!Estimate","Maryland!!Total!!Estimate","Maryland!!Percent!!Estimate","Maryland!!Male!!Estimate","Maryland!!Percent Male!!Estimate","Maryland!!Female!!Estimate","Maryland!!Percent Female!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Percent!!Estimate","Massachusetts!!Male!!Estimate","Massachusetts!!Percent Male!!Estimate","Massachusetts!!Female!!Estimate","Massachusetts!!Percent Female!!Estimate","Michingan!!Total!!Estimate","Michigan!!Percent!!Estimate","Michigan!!Male!!Estimate","Michigan!!Percent Male!!Estimate","Michigan!!Female!!Estimate","Michigan!!Percent Female!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Percent!!Estimate","Minnesota!!Male!!Estimate","Minnesota!!Percent Male!!Estimate","Minnesota!!Female!!Estimate","Minnesota!!Percent Female!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Percent!!Estimate","Mississippi!!Male!!Estimate","Mississippi!!Percent Male!!Estimate","Mississippi!!Female!!Estimate","Mississippi!!Percent Female!!Estimate","Missouri!!Total!!Estimate","Missouri!!Percent!!Estimate","Missouri!!Male!!Estimate","Missouri!!Percent Male!!Estimate","Missouri!!Female!!Estimate","Missouri!!Percent Female!!Estimate","Montana!!Total!!Estimate","Montana!!Percent!!Estimate","Montana!!Male!!Estimate","Montana!!Percent Male!!Estimate","Montana!!Female!!Estimate","Montana!!Percent Female!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Percent!!Estimate","Nebraska!!Male!!Estimate","Nebraska!!Percent Male!!Estimate","Nebraska!!Female!!Estimate","Nebraska!!Percent Female!!Estimate","Nevada!!Total!!Estimate","Nevada!!Percent!!Estimate","Nevada!!Male!!Estimate","Nevada!!Percent Male!!Estimate","Nevada!!Female!!Estimate","Nevada!!Percent Female!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Percent!!Estimate","New Hampshire!!Male!!Estimate","New Hampshire!!Percent Male!!Estimate","New Hampshire!!Female!!Estimate","New Hampshire!!Percent Female!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Percent!!Estimate","New Jersey!!Male!!Estimate","New Jersey!!Percent Male!!Estimate","New Jersey!!Female!!Estimate","New Jersey!!Percent Female!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Percent!!Estimate","New Mexico!!Male!!Estimate","New Mexico!!Percent Male!!Estimate","New Mexico!!Female!!Estimate","New Mexico!!Percent Female!!Estimate","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Male!!Estimate","New York!!Percent Male!!Estimate","New York!!Female!!Estimate","New York!!Percent Female!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Percent!!Estimate","North Carolina!!Male!!Estimate","North Carolina!!Percent Male!!Estimate","North Carolina!!Female!!Estimate","North Carolina!!Percent Female!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Percent!!Estimate","North Dakota!!Male!!Estimate","North Dakota!!Percent Male!!Estimate","North Dakota!!Female!!Estimate","North Dakota!!Percent Female!!Estimate","Ohio!!Total!!Estimate","Ohio!!Percent!!Estimate","Ohio!!Male!!Estimate","Ohio!!Percent Male!!Estimate","Ohio!!Female!!Estimate","Ohio!!Percent Female!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Percent!!Estimate","Oklahoma!!Male!!Estimate","Oklahoma!!Percent Male!!Estimate","Oklahoma!!Female!!Estimate","Oklahoma!!Percent Female!!Estimate","Oregon!!Total!!Estimate","Oregon!!Percent!!Estimate","Oregon!!Male!!Estimate","Oregon!!Percent Male!!Estimate","Oregon!!Female!!Estimate","Oregon!!Percent Female!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Percent!!Estimate","Pennsylvania!!Male!!Estimate","Pennsylvania!!Percent Male!!Estimate","Pennsylvania!!Female!!Estimate","Pennsylvania!!Percent Female!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Percent!!Estimate","Rhode Island!!Male!!Estimate","Rhode Island!!Percent Male!!Estimate","Rhode Island!!Female!!Estimate","Rhode Island!!Percent Female!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Percent!!Estimate","South Carolina!!Male!!Estimate","South Carolina!!Percent Male!!Estimate","South Carolina!!Female!!Estimate","South Carolina!!Percent Female!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Percent!!Estimate","South Dakota!!Male!!Estimate","South Dakota!!Percent Male!!Estimate","South Dakota!!Female!!Estimate","South Dakota!!Percent Female!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Percent!!Estimate","Tennessee!!Male!!Estimate","Tennessee!!Percent Male!!Estimate","Tennessee!!Female!!Estimate","Tennessee!!Percent Female!!Estimate","Texas!!Total!!Estimate","Texas!!Percent!!Estimate","Texas!!Male!!Estimate","Texas!!Percent Male!!Estimate","Texas!!Female!!Estimate","Texas!!Percent Female!!Estimate","Utah!!Total!!Estimate","Utah!!Percent!!Estimate","Utah!!Male!!Estimate","Utah!!Percent Male!!Estimate","Utah!!Female!!Estimate","Utah!!Percent Female!!Estimate","Vermont!!Total!!Estimate","Vermont!!Percent!!Estimate","Vermont!!Male!!Estimate","Vermont!!Percent Male!!Estimate","Vermont!!Female!!Estimate","Vermont!!Percent Female!!Estimate","Virginia!!Total!!Estimate","Virginia!!Percent!!Estimate","Virginia!!Male!!Estimate","Virginia!!Percent Male!!Estimate","Virginia!!Female!!Estimate","Virginia!!Percent Female!!Estimate","Washington!!Total!!Estimate","Washington!!Percent!!Estimate","Washington!!Male!!Estimate","Washington!!Percent Male!!Estimate","Washington!!Female!!Estimate","Washington!!Percent Female!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Percent!!Estimate","West Virginia!!Male!!Estimate","West Virginia!!Percent Male!!Estimate","West Virginia!!Female!!Estimate","West Virginia!!Percent Female!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Percent!!Estimate","Wisconsin!!Male!!Estimate","Wisconsin!!Percent Male!!Estimate","Wisconsin!!Female!!Estimate","Wisconsin!!Percent Female!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Percent!!Estimate","Wyoming!!Male!!Estimate","Wyoming!!Percent Male!!Estimate","Wyoming!!Female!!Estimate","Wyoming!!Percent Female!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Percent!!Estimate","Puerto Rico!!Male!!Estimate","Puerto Rico!!Percent Male!!Estimate","Puerto Rico!!Female!!Estimate","Puerto Rico!!Percent Female!!Estimate"
"Total population","333,287,562","(X)","165,228,214","(X)","168,059,348","(X)","5,074,296","(X)","2,461,248","(X)","2,613,048","(X)","733,583","(X)","385,667","(X)","347,916","(X)","7,359,197","(X)","3,678,381","(X)","3,680,816","(X)","3,045,637","(X)","1,504,488","(X)","1,541,149","(X)","39,029,342","(X)","19,536,425","(X)","19,492,917","(X)","5,839,926","(X)","2,960,896","(X)","2,879,030","(X)","3,626,205","(X)","1,776,689","(X)","1,849,516","(X)","1,018,396","(X)","494,657","(X)","523,739","(X)","671,803","(X)","319,763","(X)","352,040","(X)","22,244,823","(X)","10,953,468","(X)","11,291,355","(X)","10,912,876","(X)","5,323,951","(X)","5,588,925","(X)","1,440,196","(X)","725,309","(X)","714,887","(X)","1,939,033","(X)","976,925","(X)","962,108","(X)","12,582,032","(X)","6,229,035","(X)","6,352,997","(X)","6,833,037","(X)","3,392,667","(X)","3,440,370","(X)","3,200,517","(X)","1,607,659","(X)","1,592,858","(X)","2,937,150","(X)","1,473,791","(X)","1,463,359","(X)","4,512,310","(X)","2,233,158","(X)","2,279,152","(X)","4,590,241","(X)","2,248,146","(X)","2,342,095","(X)","1,385,340","(X)","684,557","(X)","700,783","(X)","6,164,660","(X)","3,004,117","(X)","3,160,543","(X)","6,981,974","(X)","3,419,487","(X)","3,562,487","(X)","10,034,118","(X)","4,979,089","(X)","5,055,029","(X)","5,717,184","(X)","2,869,638","(X)","2,847,546","(X)","2,940,057","(X)","1,426,689","(X)","1,513,368","(X)","6,177,957","(X)","3,046,351","(X)","3,131,606","(X)","1,122,867","(X)","567,273","(X)","555,594","(X)","1,967,923","(X)","988,837","(X)","979,086","(X)","3,177,772","(X)","1,599,922","(X)","1,577,850","(X)","1,395,231","(X)","696,786","(X)","698,445","(X)","9,261,699","(X)","4,564,704","(X)","4,696,995","(X)","2,113,344","(X)","1,047,785","(X)","1,065,559","(X)","19,677,151","(X)","9,628,899","(X)","10,048,252","(X)","10,698,973","(X)","5,229,792","(X)","5,469,181","(X)","779,261","(X)","398,845","(X)","380,416","(X)","11,756,058","(X)","5,810,211","(X)","5,945,847","(X)","4,019,800","(X)","2,004,195","(X)","2,015,605","(X)","4,240,137","(X)","2,121,651","(X)","2,118,486","(X)","12,972,008","(X)","6,399,830","(X)","6,572,178","(X)","1,093,734","(X)","535,841","(X)","557,893","(X)","5,282,634","(X)","2,569,909","(X)","2,712,725","(X)","909,824","(X)","462,457","(X)","447,367","(X)","7,051,339","(X)","3,462,618","(X)","3,588,721","(X)","30,029,572","(X)","15,021,141","(X)","15,008,431","(X)","3,380,800","(X)","1,716,117","(X)","1,664,683","(X)","647,064","(X)","320,698","(X)","326,366","(X)","8,683,619","(X)","4,299,314","(X)","4,384,305","(X)","7,785,786","(X)","3,930,411","(X)","3,855,375","(X)","1,775,156","(X)","882,101","(X)","893,055","(X)","5,892,539","(X)","2,958,771","(X)","2,933,768","(X)","581,381","(X)","297,855","(X)","283,526","(X)","3,221,789","(X)","1,528,789","(X)","1,693,000","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","18,358,199","5.5%","9,394,890","5.7%","8,963,309","5.3%","284,064","5.6%","146,169","5.9%","137,895","5.3%","46,497","6.3%","23,043","6.0%","23,454","6.7%","393,413","5.3%","201,423","5.5%","191,990","5.2%","177,765","5.8%","90,239","6.0%","87,526","5.7%","2,118,386","5.4%","1,081,904","5.5%","1,036,482","5.3%","305,063","5.2%","154,565","5.2%","150,498","5.2%","178,453","4.9%","91,513","5.2%","86,940","4.7%","54,058","5.3%","27,456","5.6%","26,602","5.1%","39,035","5.8%","20,038","6.3%","18,997","5.4%","1,101,350","5.0%","563,703","5.1%","537,647","4.8%","621,126","5.7%","319,188","6.0%","301,938","5.4%","78,927","5.5%","39,937","5.5%","38,990","5.5%","111,816","5.8%","57,072","5.8%","54,744","5.7%","674,211","5.4%","346,301","5.6%","327,910","5.2%","399,031","5.8%","208,556","6.1%","190,475","5.5%","180,010","5.6%","93,069","5.8%","86,941","5.5%","176,673","6.0%","91,425","6.2%","85,248","5.8%","260,433","5.8%","133,686","6.0%","126,747","5.6%","270,937","5.9%","137,840","6.1%","133,097","5.7%","61,018","4.4%","32,126","4.7%","28,892","4.1%","349,193","5.7%","180,371","6.0%","168,822","5.3%","342,252","4.9%","176,109","5.2%","166,143","4.7%","536,805","5.3%","274,862","5.5%","261,943","5.2%","328,095","5.7%","170,198","5.9%","157,897","5.5%","169,303","5.8%","87,030","6.1%","82,273","5.4%","349,648","5.7%","179,986","5.9%","169,662","5.4%","57,024","5.1%","27,709","4.9%","29,315","5.3%","121,107","6.2%","62,276","6.3%","58,831","6.0%","172,575","5.4%","86,951","5.4%","85,624","5.4%","62,666","4.5%","31,969","4.6%","30,697","4.4%","513,333","5.5%","261,922","5.7%","251,411","5.4%","104,994","5.0%","50,507","4.8%","54,487","5.1%","1,055,455","5.4%","543,601","5.6%","511,854","5.1%","584,492","5.5%","294,058","5.6%","290,434","5.3%","47,844","6.1%","24,545","6.2%","23,299","6.1%","661,196","5.6%","341,053","5.9%","320,143","5.4%","240,173","6.0%","122,758","6.1%","117,415","5.8%","199,584","4.7%","102,977","4.9%","96,607","4.6%","668,734","5.2%","340,925","5.3%","327,809","5.0%","51,955","4.8%","25,568","4.8%","26,387","4.7%","281,426","5.3%","143,703","5.6%","137,723","5.1%","57,246","6.3%","28,863","6.2%","28,383","6.3%","402,215","5.7%","206,317","6.0%","195,898","5.5%","1,881,718","6.3%","963,076","6.4%","918,642","6.1%","228,464","6.8%","116,718","6.8%","111,746","6.7%","27,875","4.3%","13,651","4.3%","14,224","4.4%","481,682","5.5%","246,632","5.7%","235,050","5.4%","421,722","5.4%","213,623","5.4%","208,099","5.4%","87,469","4.9%","43,466","4.9%","44,003","4.9%","309,244","5.2%","159,162","5.4%","150,082","5.1%","30,444","5.2%","15,051","5.1%","15,393","5.4%","99,432","3.1%","53,485","3.5%","45,947","2.7%"
"        5 to 9 years","19,770,314","5.9%","10,110,917","6.1%","9,659,397","5.7%","311,592","6.1%","158,767","6.5%","152,825","5.8%","49,637","6.8%","25,916","6.7%","23,721","6.8%","438,358","6.0%","221,769","6.0%","216,589","5.9%","196,453","6.5%","98,535","6.5%","97,918","6.4%","2,285,436","5.9%","1,165,348","6.0%","1,120,088","5.7%","324,472","5.6%","166,104","5.6%","158,368","5.5%","195,805","5.4%","97,762","5.5%","98,043","5.3%","57,518","5.6%","29,704","6.0%","27,814","5.3%","37,268","5.5%","19,567","6.1%","17,701","5.0%","1,162,982","5.2%","598,155","5.5%","564,827","5.0%","683,215","6.3%","349,200","6.6%","334,015","6.0%","82,233","5.7%","44,200","6.1%","38,033","5.3%","127,781","6.6%","63,418","6.5%","64,363","6.7%","735,342","5.8%","370,002","5.9%","365,340","5.8%","439,398","6.4%","225,796","6.7%","213,602","6.2%","200,720","6.3%","102,293","6.4%","98,427","6.2%","186,340","6.3%","95,286","6.5%","91,054","6.2%","281,095","6.2%","141,927","6.4%","139,168","6.1%","287,552","6.3%","151,575","6.7%","135,977","5.8%","69,458","5.0%","35,275","5.2%","34,183","4.9%","373,075","6.1%","192,144","6.4%","180,931","5.7%","359,840","5.2%","186,360","5.4%","173,480","4.9%","571,751","5.7%","293,066","5.9%","278,685","5.5%","363,889","6.4%","186,821","6.5%","177,068","6.2%","176,516","6.0%","88,551","6.2%","87,965","5.8%","375,656","6.1%","189,276","6.2%","186,380","6.0%","62,553","5.6%","32,427","5.7%","30,126","5.4%","130,922","6.7%","66,200","6.7%","64,722","6.6%","192,523","6.1%","97,750","6.1%","94,773","6.0%","68,161","4.9%","32,977","4.7%","35,184","5.0%","533,608","5.8%","274,175","6.0%","259,433","5.5%","123,352","5.8%","62,860","6.0%","60,492","5.7%","1,070,033","5.4%","545,792","5.7%","524,241","5.2%","621,266","5.8%","317,020","6.1%","304,246","5.6%","52,217","6.7%","26,547","6.7%","25,670","6.7%","691,486","5.9%","351,429","6.0%","340,057","5.7%","262,609","6.5%","132,216","6.6%","130,393","6.5%","229,279","5.4%","116,747","5.5%","112,532","5.3%","719,322","5.5%","367,379","5.7%","351,943","5.4%","53,959","4.9%","28,180","5.3%","25,779","4.6%","309,601","5.9%","153,663","6.0%","155,938","5.7%","59,977","6.6%","30,960","6.7%","29,017","6.5%","422,122","6.0%","217,274","6.3%","204,848","5.7%","2,070,802","6.9%","1,061,578","7.1%","1,009,224","6.7%","253,833","7.5%","132,973","7.7%","120,860","7.3%","30,605","4.7%","15,723","4.9%","14,882","4.6%","507,493","5.8%","265,004","6.2%","242,489","5.5%","464,035","6.0%","242,230","6.2%","221,805","5.8%","96,217","5.4%","49,137","5.6%","47,080","5.3%","333,686","5.7%","173,416","5.9%","160,270","5.5%","37,271","6.4%","20,443","6.9%","16,828","5.9%","133,195","4.1%","68,924","4.5%","64,271","3.8%"
"        10 to 14 years","21,220,214","6.4%","10,892,415","6.6%","10,327,799","6.1%","318,523","6.3%","164,578","6.7%","153,945","5.9%","51,178","7.0%","26,492","6.9%","24,686","7.1%","463,552","6.3%","238,114","6.5%","225,438","6.1%","200,389","6.6%","103,801","6.9%","96,588","6.3%","2,550,172","6.5%","1,313,295","6.7%","1,236,877","6.3%","360,878","6.2%","185,183","6.3%","175,695","6.1%","217,577","6.0%","113,665","6.4%","103,912","5.6%","59,905","5.9%","30,008","6.1%","29,897","5.7%","31,558","4.7%","15,307","4.8%","16,251","4.6%","1,260,197","5.7%","642,573","5.9%","617,624","5.5%","741,043","6.8%","377,740","7.1%","363,303","6.5%","88,272","6.1%","43,739","6.0%","44,533","6.2%","139,762","7.2%","71,966","7.4%","67,796","7.0%","808,148","6.4%","419,850","6.7%","388,298","6.1%","445,513","6.5%","225,828","6.7%","219,685","6.4%","207,426","6.5%","107,002","6.7%","100,424","6.3%","203,412","6.9%","103,881","7.0%","99,531","6.8%","284,053","6.3%","147,226","6.6%","136,827","6.0%","313,246","6.8%","157,935","7.0%","155,311","6.6%","70,100","5.1%","35,967","5.3%","34,133","4.9%","387,050","6.3%","198,281","6.6%","188,769","6.0%","386,696","5.5%","196,397","5.7%","190,299","5.3%","615,180","6.1%","315,861","6.3%","299,319","5.9%","368,761","6.5%","187,800","6.5%","180,961","6.4%","205,864","7.0%","108,061","7.6%","97,803","6.5%","394,409","6.4%","203,713","6.7%","190,696","6.1%","72,960","6.5%","36,913","6.5%","36,047","6.5%","137,862","7.0%","71,522","7.2%","66,340","6.8%","200,260","6.3%","103,397","6.5%","96,863","6.1%","70,890","5.1%","37,387","5.4%","33,503","4.8%","585,993","6.3%","299,362","6.6%","286,631","6.1%","141,184","6.7%","73,691","7.0%","67,493","6.3%","1,161,685","5.9%","598,202","6.2%","563,483","5.6%","678,318","6.3%","350,728","6.7%","327,590","6.0%","51,533","6.6%","26,838","6.7%","24,695","6.5%","747,870","6.4%","384,408","6.6%","363,462","6.1%","282,676","7.0%","148,077","7.4%","134,599","6.7%","250,140","5.9%","131,153","6.2%","118,987","5.6%","761,677","5.9%","390,736","6.1%","370,941","5.6%","59,764","5.5%","30,777","5.7%","28,987","5.2%","327,157","6.2%","169,654","6.6%","157,503","5.8%","63,989","7.0%","32,176","7.0%","31,813","7.1%","439,813","6.2%","226,099","6.5%","213,714","6.0%","2,173,132","7.2%","1,105,937","7.4%","1,067,195","7.1%","278,120","8.2%","142,439","8.3%","135,681","8.2%","34,125","5.3%","17,022","5.3%","17,103","5.2%","544,175","6.3%","278,627","6.5%","265,548","6.1%","473,406","6.1%","240,832","6.1%","232,574","6.0%","102,819","5.8%","52,066","5.9%","50,753","5.7%","369,101","6.3%","190,753","6.4%","178,348","6.1%","38,701","6.7%","19,356","6.5%","19,345","6.8%","170,757","5.3%","86,034","5.6%","84,723","5.0%"
"        15 to 19 years","21,785,658","6.5%","11,167,522","6.8%","10,618,136","6.3%","340,067","6.7%","168,284","6.8%","171,783","6.6%","44,794","6.1%","22,781","5.9%","22,013","6.3%","487,734","6.6%","250,752","6.8%","236,982","6.4%","203,500","6.7%","107,068","7.1%","96,432","6.3%","2,568,788","6.6%","1,314,876","6.7%","1,253,912","6.4%","369,814","6.3%","190,494","6.4%","179,320","6.2%","245,675","6.8%","125,753","7.1%","119,922","6.5%","62,893","6.2%","31,849","6.4%","31,044","5.9%","36,668","5.5%","16,901","5.3%","19,767","5.6%","1,275,398","5.7%","655,116","6.0%","620,282","5.5%","762,949","7.0%","390,500","7.3%","372,449","6.7%","77,574","5.4%","40,896","5.6%","36,678","5.1%","138,308","7.1%","72,544","7.4%","65,764","6.8%","820,510","6.5%","423,185","6.8%","397,325","6.3%","474,821","6.9%","248,292","7.3%","226,529","6.6%","221,129","6.9%","115,721","7.2%","105,408","6.6%","207,208","7.1%","107,025","7.3%","100,183","6.8%","293,874","6.5%","151,001","6.8%","142,873","6.3%","306,657","6.7%","156,662","7.0%","149,995","6.4%","74,870","5.4%","38,545","5.6%","36,325","5.2%","389,324","6.3%","197,045","6.6%","192,279","6.1%","454,230","6.5%","227,663","6.7%","226,567","6.4%","643,459","6.4%","330,514","6.6%","312,945","6.2%","373,716","6.5%","191,473","6.7%","182,243","6.4%","215,884","7.3%","106,986","7.5%","108,898","7.2%","410,378","6.6%","212,856","7.0%","197,522","6.3%","69,694","6.2%","36,656","6.5%","33,038","5.9%","142,514","7.2%","73,989","7.5%","68,525","7.0%","193,726","6.1%","98,657","6.2%","95,069","6.0%","85,585","6.1%","43,199","6.2%","42,386","6.1%","576,961","6.2%","296,411","6.5%","280,550","6.0%","144,717","6.8%","74,414","7.1%","70,303","6.6%","1,198,745","6.1%","609,954","6.3%","588,791","5.9%","704,046","6.6%","364,473","7.0%","339,573","6.2%","55,008","7.1%","28,963","7.3%","26,045","6.8%","757,937","6.4%","385,531","6.6%","372,406","6.3%","283,637","7.1%","146,329","7.3%","137,308","6.8%","257,747","6.1%","131,941","6.2%","125,806","5.9%","841,351","6.5%","424,350","6.6%","417,001","6.3%","73,740","6.7%","36,089","6.7%","37,651","6.7%","347,645","6.6%","180,797","7.0%","166,848","6.2%","62,422","6.9%","33,441","7.2%","28,981","6.5%","446,948","6.3%","227,859","6.6%","219,089","6.1%","2,160,735","7.2%","1,112,385","7.4%","1,048,350","7.0%","277,956","8.2%","142,190","8.3%","135,766","8.2%","43,011","6.6%","21,935","6.8%","21,076","6.5%","569,202","6.6%","291,140","6.8%","278,062","6.3%","457,060","5.9%","234,824","6.0%","222,236","5.8%","111,760","6.3%","57,593","6.5%","54,167","6.1%","385,002","6.5%","199,294","6.7%","185,708","6.3%","38,287","6.6%","20,326","6.8%","17,961","6.3%","197,196","6.1%","103,566","6.8%","93,630","5.5%"
